"postcode","postcode_space","postcode.area","Average.download.speed..Mbit.s.","Maximum.download.speed..Mbit.s.","Minimum.download.speed..Mbit.s.","Average.upload.speed..Mbit.s.","Maximum.upload.speed..Mbit.s.","Minimum.upload.speed..Mbit.s.","Average.data.usage..GB.","All.Premises","All.Matched.Premises","lsoa_area","county"
"TR197AU","TR19 7AU","TR",3.83297979808769,4.39444915467244,2.2082744135228,2.50143595173921,3.04452243772342,0.336472236621213,5.54907608489522,3.85014760171006,3.85014760171006,"Cornwall 069C","Cornwall"
"TR197AW","TR19 7AW","TR",3.73766961828337,4.39444915467244,0.78845736036427,2.3887627892351,3.04452243772342,0.262364264467491,4.34380542185368,2.89037175789616,2.89037175789616,"Cornwall 069C","Cornwall"
"TR197AX","TR19 7AX","TR",2.82731362192903,4.02535169073515,1.06471073699243,0.916290731874155,2.39789527279837,0.262364264467491,4.80402104473326,4.11087386417331,4.11087386417331,"Cornwall 069C","Cornwall"
"TR197AY","TR19 7AY","TR",3.28840188751681,4.1415461637064,2.64617479738412,1.6094379124341,3.02042488614436,0.53062825106217,5.01727983681492,2.56494935746154,2.56494935746154,"Cornwall 069C","Cornwall"
"TR197BB","TR19 7BB","TR",2.31253542384721,2.92852352386054,1.19392246847243,0.53062825106217,0.741937344729377,0.336472236621213,4.24849524204936,2.94443897916644,2.94443897916644,"Cornwall 069C","Cornwall"
"TR197BD","TR19 7BD","TR",2.54944517092557,3.22286784613774,1.45861502269952,0.641853886172395,1.02961941718116,0.336472236621213,6.0282785202307,1.79175946922805,1.79175946922805,"Cornwall 069A","Cornwall"
"TR197BE","TR19 7BE","TR",2.28238238567653,2.64617479738412,1.6094379124341,0.53062825106217,0.693147180559945,0.336472236621213,4.65396035015752,2.77258872223978,2.77258872223978,"Cornwall 069A","Cornwall"
"TR197BG","TR19 7BG","TR",3.65583960003574,4.03246915850401,1.82454929205105,2.35137525716348,2.83321334405622,0.336472236621213,6.65672652417839,2.19722457733622,2.19722457733622,"Cornwall 069A","Cornwall"
"TR197BL","TR19 7BL","TR",3.40452517175483,4.06902675423781,2.32238772029023,1.82454929205105,3.04452243772342,0.336472236621213,6.24997524225948,3.36729582998647,3.36729582998647,"Cornwall 069A","Cornwall"
"TR197BN","TR19 7BN","TR",2.84490938381941,3.07731226054641,2.2082744135228,0.53062825106217,0.587786664902119,0.336472236621213,4.15888308335967,1.79175946922805,1.79175946922805,"Cornwall 069C","Cornwall"
"TR197BQ","TR19 7BQ","TR",2.66722820658195,3.22286784613774,2.04122032885964,1.02961941718116,1.25276296849537,0.336472236621213,4.63472898822964,1.94591014905531,1.94591014905531,"Cornwall 069C","Cornwall"
"TR197BS","TR19 7BS","TR",3.8177123259569,4.37449836825309,0.262364264467491,2.47653840011748,3.04452243772342,0.336472236621213,4.72738781871234,3.40119738166216,3.40119738166216,"Cornwall 069C","Cornwall"
