"postcode","postcode_space","postcode.area","Average.download.speed..Mbit.s.","Maximum.download.speed..Mbit.s.","Minimum.download.speed..Mbit.s.","Average.upload.speed..Mbit.s.","Maximum.upload.speed..Mbit.s.","Minimum.upload.speed..Mbit.s.","Average.data.usage..GB.","All.Premises","All.Matched.Premises","lsoa_area","county"
"BS110HF","BS11 0HF","BS",3.38099467434464,4.61512051684126,1.90210752639692,1.50407739677627,2.39789527279837,0.53062825106217,5.56068163101553,2.56494935746154,2.56494935746154,"Bristol 003B","Bristol, City of"
"BS110HG","BS11 0HG","BS",4.12874598893943,5.30330490805908,2.2082744135228,2.02814824729229,2.56494935746154,0.587786664902119,5.89164421182577,2.56494935746154,2.56494935746154,"Bristol 003B","Bristol, City of"
"BS110HH","BS11 0HH","BS",4.65205377188694,5.30330490805908,1.62924053973028,2.30258509299405,3.03495298670727,0.693147180559945,5.67675380226828,2.83321334405622,2.83321334405622,"Bristol 003A","Bristol, City of"
"BS110HJ","BS11 0HJ","BS",4.17745946893261,5.30330490805908,2.14006616349627,1.7404661748405,2.56494935746154,0.587786664902119,6.0913098820777,2.83321334405622,2.83321334405622,"Bristol 003A","Bristol, City of"
"BS110HL","BS11 0HL","BS",4.12874598893943,5.01727983681492,2.28238238567653,1.94591014905531,3.04452243772342,0.587786664902119,5.9427993751267,3.25809653802148,3.25809653802148,"Bristol 003A","Bristol, City of"
"BS110HN","BS11 0HN","BS",3.46573590279973,4.34769395559338,1.66770682055808,2.02814824729229,3.04452243772342,0.405465108108164,5.5834963087817,3.85014760171006,3.85014760171006,"Bristol 008A","Bristol, City of"
"BS110HQ","BS11 0HQ","BS",4.09600984154116,5.01727983681492,1.94591014905531,2.15176220325946,3.04452243772342,0.53062825106217,5.8805329864007,3.2188758248682,3.2188758248682,"Bristol 003A","Bristol, City of"
"BS110HR","BS11 0HR","BS",3.52929738428947,4.32941668440158,1.6094379124341,2.21920348405499,3.04452243772342,0.262364264467491,6.24610676548156,1.94591014905531,1.94591014905531,"Bristol 003A","Bristol, City of"
"BS110HT","BS11 0HT","BS",4.4200447018614,5.30330490805908,2.57261223020711,2.04122032885964,3.04452243772342,0.693147180559945,5.04985600724954,2.94443897916644,2.94443897916644,"Bristol 003B","Bristol, City of"
"BS110HU","BS11 0HU","BS",4.25134831103177,5.30330490805908,2.2512917986065,2.04122032885964,3.04452243772342,0.405465108108164,5.75574221358691,3.29583686600433,3.29583686600433,"Bristol 003B","Bristol, City of"
"BS110HW","BS11 0HW","BS",4.97535347995162,5.30330490805908,3.93182563272433,2.28238238567653,2.56494935746154,1.38629436111989,5.76832099579377,2.63905732961526,2.63905732961526,"Bristol 003D","Bristol, City of"
"BS110HX","BS11 0HX","BS",4.60015764416455,5.30330490805908,2.21920348405499,2.06686275947298,2.56494935746154,0.53062825106217,5.50938833662798,3.25809653802148,3.25809653802148,"Bristol 003B","Bristol, City of"
"BS110HY","BS11 0HY","BS",4.79496375762075,5.30330490805908,2.45958884180371,2.21920348405499,2.56494935746154,0.741937344729377,5.59471137960184,3.55534806148941,3.55534806148941,"Bristol 003A","Bristol, City of"
